物品,成交量,最低價,中位價,最高價,價格變化,日期
長杖魔力卷軸60%卷軸,431,275000,300000,335000,+0.90%,2025-06-17
槍攻擊卷軸60%卷軸,424,90000,100000,130000,-0.03%,2025-06-17
雙手劍命中卷軸60%卷軸,420,50000,70000,90000,+1.00%,2025-06-17
鞋子跳躍卷軸60%卷軸,415,777777,900000,1050000,+6.25%,2025-06-17
手套敏捷性卷軸60%卷軸,414,90000,100000,130000,-0.29%,2025-06-17
套服敏捷卷軸10%卷軸,409,350000,470000,550000,+4.87%,2025-06-17
套服幸運卷軸60%卷軸,401,3299999,3800000,4250000,+3.52%,2025-06-17
槍命中卷軸60%卷軸,398,85000,120000,145000,-1.09%,2025-06-17
耳飾幸運卷軸100%卷軸,388,477777,500000,570000,+0.23%,2025-06-17
弩攻擊卷軸60%卷軸,383,32000,40000,55999,-2.63%,2025-06-17
頭盔智力卷軸100%卷軸,379,187000,200000,245000,-2.13%,2025-06-17
鞋子跳躍卷軸10%卷軸,378,210000,250000,265000,+1.60%,2025-06-17
套服智力卷軸60%卷軸,346,4800000,5000000,5750000,+2.19%,2025-06-17
披風體力卷軸60%卷軸,316,170000,200000,210000,-0.56%,2025-06-17
短劍攻擊卷軸10%卷軸,315,300000,550000,700000,+14.71%,2025-06-17
上衣幸運卷軸100%卷軸,307,270000,300000,370000,-2.92%,2025-06-17
飄雪結晶商城道具,307,80000,90000,100000,+3.16%,2025-06-17
披風幸運卷軸10%卷軸,301,188888,200000,230000,+1.18%,2025-06-17
頭盔體力卷軸60%卷軸,300,370000,400000,410000,-0.16%,2025-06-17
手套攻擊卷軸100%卷軸,287,330000,400000,420000,-1.40%,2025-06-17
手套攻擊卷軸10%卷軸,280,750000,849999,950000,+1.87%,2025-06-17
指虎攻擊卷軸60%卷軸,273,20000,30000,40000,+0.43%,2025-06-17
頭盔敏捷性卷軸100%卷軸,271,399999,400000,400000,0.00%,2025-06-17
鞋子敏捷性卷軸60%卷軸,264,40000,60000,80000,+3.16%,2025-06-17
上衣力量卷軸100%卷軸,228,159999,200000,210000,+0.82%,2025-06-17
雙手劍攻擊卷軸60%卷軸,222,36999,50000,53000,+1.81%,2025-06-17
單手棍命中卷軸60%卷軸,219,15000,25000,35000,+6.46%,2025-06-17
盾牌幸運卷軸100%卷軸,219,280000,300000,370000,-1.48%,2025-06-17
披風敏捷性卷軸100%卷軸,215,230000,285000,320000,-0.46%,2025-06-17
矛攻擊卷軸60%卷軸,201,20000,30000,40000,+1.45%,2025-06-17
弓攻擊卷軸10%卷軸,195,229999,400000,500001,+27.76%,2025-06-17
耳飾體力卷軸60%卷軸,194,120000,150000,160000,-1.40%,2025-06-17
酋長的地契其他,194,250000,350000,450000,+0.89%,2025-06-17
單手劍攻擊卷軸60%卷軸,186,48000,50000,55000,-0.70%,2025-06-17
槍命中卷軸10%卷軸,185,7000,10000,19000,+2.93%,2025-06-17
食人花的花蜜其他,185,850000,950000,1000000,+0.40%,2025-06-17
上衣體力卷軸10%卷軸,183,19000,40000,60000,-4.94%,2025-06-17
盾牌生命卷軸60%卷軸,183,650000,775000,850000,-5.75%,2025-06-17
盾牌力量卷軸60%卷軸,169,140000,250000,320000,+4.15%,2025-06-17
神秘背包商城道具,168,800000,900000,1000000,+3.41%,2025-06-17
手套敏捷性卷軸10%卷軸,165,48999,50000,50000,+0.02%,2025-06-17
套服智力卷軸100%卷軸,164,1950000,2000000,2100000,+0.87%,2025-06-17
下衣體力卷軸60%卷軸,160,375000,420000,470000,-0.59%,2025-06-17
鞋子速度卷軸60%卷軸,160,35000,48000,55000,+3.38%,2025-06-17
盾牌幸運卷軸10%卷軸,156,470000,550000,650000,+0.11%,2025-06-17
盾牌生命卷軸10%卷軸,156,170000,249996,280000,-2.13%,2025-06-17
鞋子移動速度卷軸60%卷軸,156,28000,30000,37000,+0.23%,2025-06-17
枯木樹液消耗品,148,28000,30000,36000,+0.71%,2025-06-17
鞋子敏捷性卷軸10%卷軸,145,38888,50000,55555,-0.74%,2025-06-17
套服幸運卷軸100%卷軸,143,1350000,1450000,1550000,+2.19%,2025-06-17
矛命中卷軸60%卷軸,143,35000,50000,70000,-8.82%,2025-06-17
長杖魔力卷軸10%卷軸,137,349999,450000,550001,+7.69%,2025-06-17
上衣體力卷軸60%卷軸,130,130000,200000,300000,-3.16%,2025-06-17
高級瞬移之石商城道具,124,135000,145000,155000,+2.50%,2025-06-17
手槍攻擊力卷軸10%卷軸,121,250000,400000,600000,+6.23%,2025-06-17
詛咒娃娃其他,118,64,100,180,-7.05%,2025-06-17
鋼鐵母礦其他,116,6000,8500,11000,+11.05%,2025-06-17
馬堤安的觸角其他,112,300,630,1000,+15.48%,2025-06-17
土飛鏢裝備,109,3800000,4999999,6100000,-10.27%,2025-06-17
披風力量卷軸100%卷軸,107,120000,150000,160000,-5.33%,2025-06-17
頭盔智力卷軸60%卷軸,107,3199999,3700000,4200000,+5.75%,2025-06-17
套服幸運卷軸10%卷軸,104,1300000,1800000,2000000,+0.96%,2025-06-17
指虎命中卷軸10%卷軸,102,2500,9000,12000,+2.32%,2025-06-17
矛命中卷軸10%卷軸,102,2000,10000,12000,-13.48%,2025-06-17
短杖魔力卷軸10%卷軸,102,250000,600000,900000,+17.89%,2025-06-17
耳飾敏捷卷軸100%卷軸,100,3700000,3999999,4100000,+1.16%,2025-06-17
黑暗母礦其他,100,23500,30000,40000,+0.43%,2025-06-17
上衣力量卷軸60%卷軸,95,1649999,1760000,1850000,+0.99%,2025-06-17
套服智力卷軸10%卷軸,93,1800000,2400000,2800000,+7.03%,2025-06-17
頭盔體力卷軸10%卷軸,93,50000,50000,50000,0.00%,2025-06-17
下衣跳躍卷軸60%卷軸,88,30000,40000,50000,-9.78%,2025-06-17
雙手斧攻擊卷軸60%卷軸,88,5000,11000,25000,+14.80%,2025-06-17
槍攻擊卷軸10%卷軸,86,24000,55555,100000,+31.08%,2025-06-17
耳飾體力卷軸10%卷軸,84,95000,100000,111111,+0.44%,2025-06-17
敏捷母礦其他,83,39000,50000,65000,+4.67%,2025-06-17
頭盔防禦卷軸60%卷軸,81,1500,7777,12000,-4.34%,2025-06-17
指虎攻擊卷軸10%卷軸,80,7000,10000,18000,-5.86%,2025-06-17
披風智力卷軸10%卷軸,78,290000,380000,450000,+9.06%,2025-06-17
披風幸運卷軸100%卷軸,77,320000,380000,430000,-0.82%,2025-06-17
柔軟的羽毛其他,77,750,999,1100,+2.42%,2025-06-17
單手棍攻擊卷軸60%卷軸,75,3000,8000,10000,+6.66%,2025-06-17
披風智力卷軸100%卷軸,75,94999,100000,100000,-0.17%,2025-06-17
雙手棍攻擊卷軸60%卷軸,74,2000,5000,10000,+37.28%,2025-06-17
單手劍攻擊卷軸10%卷軸,73,15000,50000,120000,+85.60%,2025-06-17
盾牌防禦卷軸60%卷軸,72,2000,8000,13000,-9.81%,2025-06-17
手套攻擊卷軸60%卷軸,1169,1500000,1600000,1700000,+1.62%,2025-06-18
披風幸運卷軸60%卷軸,959,1150000,1250000,1350000,+1.59%,2025-06-18
手槍攻擊力卷軸60%卷軸,773,225000,290000,320000,+1.34%,2025-06-18
披風敏捷性卷軸60%卷軸,741,1700000,1900000,2100000,+4.52%,2025-06-18
拳套攻擊卷軸60%卷軸,706,488888,500000,555555,+1.27%,2025-06-18
盾牌幸運卷軸60%卷軸,673,1275000,1300000,1375000,+0.51%,2025-06-18
短劍攻擊卷軸60%卷軸,658,625000,675000,720000,+0.49%,2025-06-18
弓攻擊卷軸60%卷軸,592,175000,220000,272727,+2.26%,2025-06-18
短杖魔力卷軸60%卷軸,590,220000,250000,260000,+1.00%,2025-06-18
套服敏捷卷軸60%卷軸,580,1050000,1399999,1650000,+10.97%,2025-06-18
披風智力卷軸60%卷軸,555,475000,500000,575000,-1.32%,2025-06-18
耳環智力卷軸60%卷軸,551,850000,970000,1050000,+2.78%,2025-06-18
拳套攻擊卷軸10%卷軸,519,450000,600000,720000,+9.32%,2025-06-18
披風力量卷軸60%卷軸,508,850000,1200000,1450000,+8.21%,2025-06-18
耳飾幸運卷軸10%卷軸,501,235000,250000,255000,+0.24%,2025-06-18
弩攻擊卷軸60%卷軸,441,29000,40000,55999,-0.64%,2025-06-18
雙手劍命中卷軸60%卷軸,425,50000,70000,90000,+2.23%,2025-06-18
槍命中卷軸60%卷軸,424,85000,120000,145000,+1.09%,2025-06-18
槍攻擊卷軸60%卷軸,416,90000,100000,130000,+2.15%,2025-06-18
手套敏捷性卷軸60%卷軸,411,90000,100000,130000,-0.04%,2025-06-18
長杖魔力卷軸60%卷軸,405,285000,300000,345000,+1.30%,2025-06-18
套服敏捷卷軸10%卷軸,404,350000,499999,550000,+3.53%,2025-06-18
耳飾幸運卷軸100%卷軸,401,477777,500000,570000,+0.56%,2025-06-18
鞋子跳躍卷軸60%卷軸,401,780000,900000,1050000,+4.48%,2025-06-18
鞋子跳躍卷軸10%卷軸,388,210000,250000,265000,+0.99%,2025-06-18
套服幸運卷軸60%卷軸,385,3299999,3850000,4250000,+4.51%,2025-06-18
披風幸運卷軸10%卷軸,379,175000,200000,270000,+5.65%,2025-06-18
頭盔智力卷軸100%卷軸,348,190000,200000,230000,-2.64%,2025-06-18
套服智力卷軸60%卷軸,327,4800000,5000000,5750000,+4.44%,2025-06-18
披風體力卷軸60%卷軸,308,170000,200000,210000,+0.40%,2025-06-18
飄雪結晶商城道具,301,80000,90000,100000,+7.33%,2025-06-18
手套攻擊卷軸100%卷軸,300,325000,399999,420000,-4.33%,2025-06-18
指虎攻擊卷軸60%卷軸,295,20000,30000,45000,+0.62%,2025-06-18
手套攻擊卷軸10%卷軸,286,750000,850000,950000,+1.76%,2025-06-18
短劍攻擊卷軸10%卷軸,280,390000,580000,675000,+7.89%,2025-06-18
頭盔敏捷性卷軸100%卷軸,279,385000,400000,400000,+0.07%,2025-06-18
鞋子敏捷性卷軸60%卷軸,271,40000,60000,80000,+4.82%,2025-06-18
頭盔體力卷軸60%卷軸,260,385000,400000,405000,+0.09%,2025-06-18
上衣幸運卷軸100%卷軸,248,270000,300000,310000,-0.21%,2025-06-18
單手棍命中卷軸60%卷軸,234,15000,25000,35000,+7.61%,2025-06-18
槍命中卷軸10%卷軸,232,5000,10000,25000,+17.48%,2025-06-18
盾牌幸運卷軸100%卷軸,232,275000,300000,370000,-1.95%,2025-06-18
上衣力量卷軸100%卷軸,222,155000,200000,210000,+2.09%,2025-06-18
矛攻擊卷軸60%卷軸,217,20000,30000,40000,+0.34%,2025-06-18
耳飾體力卷軸60%卷軸,217,120000,150000,160000,+2.77%,2025-06-18
弓攻擊卷軸10%卷軸,215,200000,400000,550000,+21.57%,2025-06-18
披風敏捷性卷軸100%卷軸,207,230000,280000,320000,-4.17%,2025-06-18
酋長的地契其他,196,250000,350000,450000,-2.47%,2025-06-18
上衣體力卷軸10%卷軸,188,18000,40000,60000,+5.88%,2025-06-18
單手劍攻擊卷軸60%卷軸,188,48000,50000,55000,-0.94%,2025-06-18
盾牌生命卷軸60%卷軸,188,699999,750000,820000,-1.93%,2025-06-18
食人花的花蜜其他,186,850000,930000,1000000,-2.32%,2025-06-18
雙手劍攻擊卷軸60%卷軸,181,42000,50000,52000,+0.46%,2025-06-18
枯木樹液消耗品,173,28000,30000,36000,-3.03%,2025-06-18
下衣體力卷軸60%卷軸,172,375000,430000,470000,+1.16%,2025-06-18
盾牌力量卷軸60%卷軸,170,140000,250000,340000,+10.26%,2025-06-18
手套敏捷性卷軸10%卷軸,166,49999,50000,50000,0.00%,2025-06-18
盾牌生命卷軸10%卷軸,164,170000,240000,280000,+0.86%,2025-06-18
鞋子移動速度卷軸60%卷軸,161,28000,30000,37000,+2.09%,2025-06-18
神秘背包商城道具,157,800000,930000,1000000,+3.50%,2025-06-18
鞋子速度卷軸60%卷軸,156,33000,50000,55555,+2.62%,2025-06-18
鞋子敏捷性卷軸10%卷軸,155,38888,50000,55555,-1.16%,2025-06-18
套服智力卷軸100%卷軸,149,1950000,2000000,2100000,+0.47%,2025-06-18
盾牌幸運卷軸10%卷軸,144,500000,550000,620000,+4.35%,2025-06-18
矛命中卷軸60%卷軸,140,35000,50000,70000,-7.30%,2025-06-18
套服幸運卷軸100%卷軸,137,1350000,1450000,1550000,+2.57%,2025-06-18
長杖魔力卷軸10%卷軸,134,350000,475000,550001,+7.77%,2025-06-18
鋼鐵母礦其他,126,6000,9000,11500,+13.30%,2025-06-18
上衣體力卷軸60%卷軸,123,135000,200000,280000,-0.33%,2025-06-18
披風力量卷軸100%卷軸,120,120000,150000,165000,-6.16%,2025-06-18
馬堤安的觸角其他,119,300,650,1000,+26.78%,2025-06-18
耳飾敏捷卷軸100%卷軸,118,3510000,4000000,4450000,+4.99%,2025-06-18
詛咒娃娃其他,118,64,100,180,-5.90%,2025-06-18
高級瞬移之石商城道具,117,135000,149999,155000,+4.27%,2025-06-18
套服幸運卷軸10%卷軸,116,1300000,1800000,2000000,+3.64%,2025-06-18
手槍攻擊力卷軸10%卷軸,116,250000,450000,800000,+30.40%,2025-06-18
指虎命中卷軸10%卷軸,107,3000,9999,12000,+3.63%,2025-06-18
短杖魔力卷軸10%卷軸,104,350000,700000,900000,+5.95%,2025-06-18
頭盔智力卷軸60%卷軸,104,3300000,3800000,4300000,+3.63%,2025-06-18
黑暗母礦其他,102,18000,30000,42000,-2.69%,2025-06-18
上衣力量卷軸60%卷軸,100,1649999,1800000,1850000,+2.70%,2025-06-18
套服智力卷軸10%卷軸,97,1999999,2500000,2900000,+7.74%,2025-06-18
矛命中卷軸10%卷軸,96,2000,10000,12000,-14.84%,2025-06-18
頭盔體力卷軸10%卷軸,96,49999,50000,51000,-0.07%,2025-06-18
披風智力卷軸100%卷軸,94,85000,100000,100000,+0.13%,2025-06-18
下衣跳躍卷軸60%卷軸,92,30000,40000,50000,-9.06%,2025-06-18
指虎攻擊卷軸10%卷軸,91,7000,10000,18000,+3.15%,2025-06-18
雙手斧攻擊卷軸60%卷軸,91,5000,12000,25000,+11.52%,2025-06-18
土飛鏢裝備,88,4200000,4700000,5300000,-5.18%,2025-06-18
披風幸運卷軸100%卷軸,87,320000,380000,430000,+2.10%,2025-06-18
耳飾體力卷軸10%卷軸,86,95000,100000,111111,-0.69%,2025-06-18
單手棍攻擊卷軸60%卷軸,84,3000,8000,12000,+0.89%,2025-06-18
槍攻擊卷軸10%卷軸,83,24000,70000,100000,+6.43%,2025-06-18
耳環生命卷軸60%卷軸,81,190000,250000,300000,+3.19%,2025-06-18
單手劍攻擊卷軸10%卷軸,80,15000,60000,120000,+25.99%,2025-06-18
敏捷母礦其他,80,43000,52000,65000,-4.07%,2025-06-18
套服力量卷軸100%卷軸,79,70000,90000,111111,+4.48%,2025-06-18
頭盔防禦卷軸60%卷軸,78,2000,7800,12000,+2.91%,2025-06-18
盾牌防禦卷軸60%卷軸,74,2000,8000,13000,+4.03%,2025-06-18
雙手棍攻擊卷軸60%卷軸,74,2000,5500,12000,+25.71%,2025-06-18
披風幸運卷軸60%卷軸,985,1150000,1250000,1350000,+2.02%,2025-06-19
手槍攻擊力卷軸60%卷軸,784,225000,295000,320000,+0.31%,2025-06-19
手套攻擊卷軸60%卷軸,772,1520000,1600000,1690000,+0.25%,2025-06-19
拳套攻擊卷軸60%卷軸,734,475000,500000,570000,+1.37%,2025-06-19
短劍攻擊卷軸60%卷軸,690,625000,680000,720000,+0.78%,2025-06-19
盾牌幸運卷軸60%卷軸,666,1280000,1300000,1375000,+0.51%,2025-06-19
弓攻擊卷軸60%卷軸,617,175000,220000,272727,+2.54%,2025-06-19
短杖魔力卷軸60%卷軸,606,220000,250000,260000,+1.34%,2025-06-19
耳飾幸運卷軸10%卷軸,604,230000,250000,270000,+0.67%,2025-06-19
套服敏捷卷軸60%卷軸,602,1050000,1400000,1650000,+9.83%,2025-06-19
披風敏捷性卷軸60%卷軸,588,1780000,1950000,2070000,+2.76%,2025-06-19
披風智力卷軸60%卷軸,558,475000,500000,575000,-1.00%,2025-06-19
拳套攻擊卷軸10%卷軸,512,460000,600000,780000,+12.26%,2025-06-19
耳環智力卷軸60%卷軸,498,880000,999999,1030000,+1.94%,2025-06-19
弩攻擊卷軸60%卷軸,477,27998,40000,56000,+1.24%,2025-06-19
披風力量卷軸60%卷軸,477,930000,1200000,1400000,+7.42%,2025-06-19
雙手劍命中卷軸60%卷軸,441,50000,70000,90000,+2.30%,2025-06-19
槍命中卷軸60%卷軸,438,85000,120000,145000,+1.79%,2025-06-19
長杖魔力卷軸60%卷軸,422,285000,300000,345000,-0.14%,2025-06-19
耳飾幸運卷軸100%卷軸,418,477777,500000,570000,+1.16%,2025-06-19
手套敏捷性卷軸60%卷軸,413,90000,100000,130000,+1.67%,2025-06-19
槍攻擊卷軸60%卷軸,399,90000,100000,130000,+2.37%,2025-06-19
鞋子跳躍卷軸10%卷軸,378,220000,250000,260000,+1.10%,2025-06-19
套服敏捷卷軸10%卷軸,376,350000,499999,550000,+4.73%,2025-06-19
鞋子跳躍卷軸60%卷軸,375,790000,900000,1050000,+2.33%,2025-06-19
披風幸運卷軸10%卷軸,363,175000,200000,270000,+7.67%,2025-06-19
套服幸運卷軸60%卷軸,352,3400000,3900000,4200000,+3.54%,2025-06-19
頭盔智力卷軸100%卷軸,347,190000,200000,230000,-1.89%,2025-06-19
披風體力卷軸60%卷軸,314,170000,200000,210000,+1.06%,2025-06-19
頭盔敏捷性卷軸100%卷軸,299,370000,400000,410000,-0.94%,2025-06-19
短劍攻擊卷軸10%卷軸,297,425000,600000,700000,+9.61%,2025-06-19
手套攻擊卷軸100%卷軸,296,325000,390000,420000,-3.65%,2025-06-19
套服智力卷軸60%卷軸,295,4800000,5100000,5750000,+3.06%,2025-06-19
指虎攻擊卷軸60%卷軸,295,20000,30000,45000,+2.55%,2025-06-19
上衣力量卷軸100%卷軸,277,140000,180000,220000,-5.65%,2025-06-19
鞋子敏捷性卷軸60%卷軸,276,38000,60000,80000,+4.70%,2025-06-19
頭盔體力卷軸60%卷軸,272,385000,400000,405000,0.00%,2025-06-19
手套攻擊卷軸10%卷軸,269,750000,850000,950000,+1.49%,2025-06-19
雙手劍攻擊卷軸60%卷軸,266,35000,50000,55000,-0.09%,2025-06-19
盾牌幸運卷軸100%卷軸,250,275000,300000,370000,-3.78%,2025-06-19
飄雪結晶商城道具,249,80000,90000,106000,+9.87%,2025-06-19
上衣幸運卷軸100%卷軸,245,270000,300000,310000,-0.13%,2025-06-19
槍命中卷軸10%卷軸,240,5000,10000,25000,+18.42%,2025-06-19
耳飾體力卷軸60%卷軸,237,120000,150000,160000,+2.37%,2025-06-19
單手棍命中卷軸60%卷軸,220,19000,25000,33333,+5.43%,2025-06-19
披風敏捷性卷軸100%卷軸,210,230000,280000,320000,-6.13%,2025-06-19
單手劍攻擊卷軸60%卷軸,201,43000,50000,52000,-0.31%,2025-06-19
弓攻擊卷軸10%卷軸,197,280000,450000,550000,+10.15%,2025-06-19
食人花的花蜜其他,195,829999,930000,1000000,-1.02%,2025-06-19
盾牌生命卷軸60%卷軸,192,700000,750000,830000,+0.37%,2025-06-19
上衣體力卷軸10%卷軸,191,18000,40000,60000,+4.49%,2025-06-19
酋長的地契其他,190,268000,350000,400000,-5.09%,2025-06-19
下衣體力卷軸60%卷軸,184,380000,420000,470000,+0.28%,2025-06-19
盾牌力量卷軸60%卷軸,183,150000,250000,350000,+18.89%,2025-06-19
手套敏捷性卷軸10%卷軸,182,48000,50000,55000,+0.52%,2025-06-19
套服幸運卷軸100%卷軸,171,1350000,1500000,1600000,+3.13%,2025-06-19
鞋子敏捷性卷軸10%卷軸,169,35000,50000,57500,-4.38%,2025-06-19
盾牌生命卷軸10%卷軸,167,168888,230000,280000,-2.52%,2025-06-19
手槍攻擊力卷軸10%卷軸,166,100000,500000,1200000,+69.76%,2025-06-19
鞋子移動速度卷軸60%卷軸,162,28000,30000,37000,+0.93%,2025-06-19
枯木樹液消耗品,159,28000,30000,36000,-2.53%,2025-06-19
矛攻擊卷軸60%卷軸,157,23000,30000,32000,-0.45%,2025-06-19
鞋子速度卷軸60%卷軸,154,33000,50000,55000,+0.25%,2025-06-19
矛命中卷軸60%卷軸,147,35000,50000,70000,-8.19%,2025-06-19
披風力量卷軸100%卷軸,145,99000,149999,170000,-3.53%,2025-06-19
神秘背包商城道具,143,850000,950000,1030000,+5.18%,2025-06-19
套服智力卷軸100%卷軸,142,1950000,2000000,2100000,+0.52%,2025-06-19
高級瞬移之石商城道具,137,130000,150000,165000,+8.97%,2025-06-19
上衣體力卷軸60%卷軸,135,140000,200000,250000,-1.09%,2025-06-19
長杖魔力卷軸10%卷軸,129,380000,480000,550001,+5.15%,2025-06-19
鋼鐵母礦其他,125,6500,9000,11500,+12.76%,2025-06-19
盾牌幸運卷軸10%卷軸,123,520000,599999,620000,+1.92%,2025-06-19
馬堤安的觸角其他,122,300,700,1000,+15.49%,2025-06-19
土飛鏢裝備,119,3600000,4500000,5500000,-8.19%,2025-06-19
套服幸運卷軸10%卷軸,118,1400000,1850000,2199999,+6.01%,2025-06-19
指虎攻擊卷軸10%卷軸,118,6000,10000,20000,-4.66%,2025-06-19
詛咒娃娃其他,115,64,100,180,-0.76%,2025-06-19
耳飾敏捷卷軸100%卷軸,112,3600000,4000000,4450000,+3.09%,2025-06-19
指虎命中卷軸10%卷軸,108,5000,10000,12000,+8.58%,2025-06-19
雙手斧攻擊卷軸60%卷軸,105,5000,12000,25000,+10.03%,2025-06-19
上衣力量卷軸60%卷軸,103,1649999,1800000,1850000,+2.61%,2025-06-19
矛命中卷軸10%卷軸,103,2000,10000,12000,+1.86%,2025-06-19
單手劍攻擊卷軸10%卷軸,99,1,75000,120000,+30.19%,2025-06-19
下衣敏捷性卷軸100%卷軸,98,1200000,1450000,1600000,-5.09%,2025-06-19
柔軟的羽毛其他,97,750,1000,1250,+10.30%,2025-06-19
耳飾體力卷軸10%卷軸,96,95000,100000,111111,-0.45%,2025-06-19
頭盔智力卷軸60%卷軸,96,3300000,3800000,4300000,+4.58%,2025-06-19
黑暗母礦其他,96,20000,30000,35000,-4.21%,2025-06-19
下衣跳躍卷軸60%卷軸,94,30000,40000,50000,-5.09%,2025-06-19
披風幸運卷軸100%卷軸,94,320000,395000,430000,+0.79%,2025-06-19
套服智力卷軸10%卷軸,92,2200000,2500000,2850000,+6.90%,2025-06-19
披風智力卷軸100%卷軸,92,85000,100000,100000,+0.04%,2025-06-19
頭盔防禦卷軸60%卷軸,92,2000,8000,12000,+5.46%,2025-06-19
頭盔體力卷軸10%卷軸,91,50000,50000,50000,0.00%,2025-06-19
單手棍攻擊卷軸60%卷軸,87,3000,8000,12000,+10.22%,2025-06-19
套服力量卷軸100%卷軸,87,70000,90000,111111,+3.46%,2025-06-19
短杖魔力卷軸10%卷軸,87,500000,720000,850000,+4.47%,2025-06-19
槍攻擊卷軸10%卷軸,85,24000,70000,100000,-13.86%,2025-06-19
披風智力卷軸10%卷軸,82,320000,400000,420000,+3.95%,2025-06-19
盾牌防禦卷軸60%卷軸,82,3000,9999,13000,+18.73%,2025-06-19
盾牌幸運卷軸60%卷軸,1124,1250000,1300000,1450000,+1.84%,2025-06-20
披風幸運卷軸60%卷軸,1074,1150000,1250000,1350000,+1.37%,2025-06-20
手套攻擊卷軸60%卷軸,1027,1550000,1600000,1750000,+1.24%,2025-06-20
手槍攻擊力卷軸60%卷軸,838,240000,300000,320000,+1.24%,2025-06-20
短劍攻擊卷軸60%卷軸,770,625000,680000,720000,+1.57%,2025-06-20
拳套攻擊卷軸60%卷軸,762,475000,500000,570000,+1.21%,2025-06-20
披風敏捷性卷軸60%卷軸,752,1749999,2000000,2200001,+4.33%,2025-06-20
短杖魔力卷軸60%卷軸,681,220000,250000,260000,+0.60%,2025-06-20
弓攻擊卷軸60%卷軸,664,175000,220000,272727,+2.82%,2025-06-20
耳飾幸運卷軸10%卷軸,630,234000,250000,280000,+1.56%,2025-06-20
披風智力卷軸60%卷軸,619,475000,500000,575000,+0.34%,2025-06-20
套服敏捷卷軸60%卷軸,599,1180000,1450000,1666666,+7.75%,2025-06-20
披風力量卷軸60%卷軸,581,980000,1250000,1520000,+10.77%,2025-06-20
拳套攻擊卷軸10%卷軸,512,475000,600000,770000,+10.37%,2025-06-20
弩攻擊卷軸60%卷軸,510,29000,40000,56000,+3.47%,2025-06-20
雙手劍命中卷軸60%卷軸,496,50000,70000,90000,-1.50%,2025-06-20
槍命中卷軸60%卷軸,472,85000,120000,145000,+0.72%,2025-06-20
長杖魔力卷軸60%卷軸,467,285000,300000,345000,-0.47%,2025-06-20
耳飾幸運卷軸100%卷軸,465,477777,500000,570000,+0.61%,2025-06-20
手套敏捷性卷軸60%卷軸,445,90000,100000,130000,-1.19%,2025-06-20
槍攻擊卷軸60%卷軸,436,90000,100000,130000,+1.50%,2025-06-20
頭盔智力卷軸100%卷軸,421,175000,200000,230000,-2.43%,2025-06-20
套服敏捷卷軸10%卷軸,417,330000,500000,600000,+6.62%,2025-06-20
鞋子跳躍卷軸10%卷軸,408,220000,250000,260000,+0.68%,2025-06-20
耳環智力卷軸60%卷軸,399,930000,1000000,1025000,+0.64%,2025-06-20
披風幸運卷軸10%卷軸,379,175000,200000,270000,+7.99%,2025-06-20
套服幸運卷軸60%卷軸,377,3480000,3999999,4450000,+1.89%,2025-06-20
套服智力卷軸60%卷軸,371,4800000,5300000,6200000,+7.38%,2025-06-20
鞋子跳躍卷軸60%卷軸,369,790000,920000,1050000,+2.22%,2025-06-20
上衣幸運卷軸100%卷軸,366,230000,295000,320000,-5.59%,2025-06-20
飄雪結晶商城道具,339,80000,95000,120000,+25.66%,2025-06-20
披風體力卷軸60%卷軸,329,170000,200000,210000,+1.05%,2025-06-20
上衣力量卷軸100%卷軸,326,140000,180000,220000,-3.61%,2025-06-20
指虎攻擊卷軸60%卷軸,321,18000,30000,45000,+0.17%,2025-06-20
短劍攻擊卷軸10%卷軸,318,425000,600000,700000,+5.59%,2025-06-20
手套攻擊卷軸10%卷軸,313,749999,850000,1088888,+6.81%,2025-06-20
頭盔敏捷性卷軸100%卷軸,311,370000,400000,410000,-1.83%,2025-06-20
手套攻擊卷軸100%卷軸,308,325000,388888,420000,-4.31%,2025-06-20
鞋子敏捷性卷軸60%卷軸,294,38000,60000,80000,+2.86%,2025-06-20
雙手劍攻擊卷軸60%卷軸,292,35000,50000,55000,-2.19%,2025-06-20
頭盔體力卷軸60%卷軸,283,385000,400000,405000,-0.11%,2025-06-20
耳飾體力卷軸60%卷軸,264,120000,150000,160000,+0.54%,2025-06-20
槍命中卷軸10%卷軸,258,5000,10000,25000,+12.76%,2025-06-20
盾牌幸運卷軸100%卷軸,257,275000,300000,370000,-2.30%,2025-06-20
單手劍攻擊卷軸60%卷軸,246,45000,50000,58000,-0.12%,2025-06-20
手套敏捷性卷軸10%卷軸,246,45000,50000,65000,+2.81%,2025-06-20
盾牌生命卷軸60%卷軸,221,699999,750000,830000,+1.17%,2025-06-20
披風敏捷性卷軸100%卷軸,219,230000,280000,320000,-4.75%,2025-06-20
酋長的地契其他,217,268000,350000,400000,-6.51%,2025-06-20
食人花的花蜜其他,208,850000,950000,1050000,+0.46%,2025-06-20
套服智力卷軸100%卷軸,201,1900000,2000000,2300000,+2.55%,2025-06-20
下衣體力卷軸60%卷軸,200,379999,420000,470000,-2.54%,2025-06-20
手槍攻擊力卷軸10%卷軸,197,150000,600000,1200000,+60.34%,2025-06-20
上衣體力卷軸10%卷軸,192,24999,40000,50000,-0.37%,2025-06-20
弓攻擊卷軸10%卷軸,190,350000,475000,550000,+5.26%,2025-06-20
盾牌生命卷軸10%卷軸,187,179999,225000,270000,-8.61%,2025-06-20
